Regression Centroids (Box B): 4
Excluded Recent Centroids (Box A): 2
Math Search Window (Bars): 3000
Visual EDT Window (Bars): 1496
Observation Window (Box B Bars): 1135
Total 171 Crossings (n): 107
Timeframe (Sec): 900
Raw Slope (b): -0.26760
Regression Angle: -29.73
Anchored Y-Int: 4417.30201

[MODEL A; CROSSINGS]
Sample (n): 107
R-Square: 0.8055
MSE: 1722.1930
Var Ratio: 1.95
Skewness: -0.21
Kurtosis: 2.21

[MODEL B; CLOSE PRICE]
Sample (n): 1135
R-Square: 0.7958
MSE: 1661.0493
Var Ratio: 2.30
Skewness: -0.22
Kurtosis: 2.33

timestamp	symbol	timeframe	close	CEN_0	CEN_1	CEN_2	CEN_3	CEN_4	CEN_5	CEN_6	CEN_7	CEN_8	CEN_9	CEN_10	CEN_11	Base_FL	EDT_1	EDT_2	EDT_3	EDT_4	EDT_5	EDT_6	EDT_7	EDT_8	horiz_high_map	horiz_low_map	ssa	ema_ssa	crossing
1778009402	XAUUSD	M15	4555.64	4518.59282	4596.05595	4755.40355	4792.76972																				4557.30083	4558.48090	0
1778010302	XAUUSD	M15	4554.64	4518.59282	4596.05595	4755.40355	4792.76972																				4555.87324	4557.17707	0
1778011202	XAUUSD	M15	4557.01	4518.59282	4596.05595	4755.40355	4792.76972																				4554.56252	4555.86979	0
1778012102	XAUUSD	M15	4559.18	4518.59282	4596.05595	4755.40355	4792.76972																				4553.49752	4554.68366	0
1778013002	XAUUSD	M15	4555.63	4518.59282	4596.05595	4755.40355	4792.76972																				4552.85583	4553.76974	0
1778013902	XAUUSD	M15	4557.58	4518.59282	4596.05595	4755.40355	4792.76972																				4552.99286	4553.38130	0
1778018402	XAUUSD	M15	4550.67	4518.59282	4596.05595	4755.40355	4792.76972																				4554.18067	4553.78098	1
1778019302	XAUUSD	M15	4546.68	4518.59282	4596.05595	4755.40355	4792.76972																				4556.87985	4555.33042	0
1778020202	XAUUSD	M15	4548.82	4518.59282	4596.05595	4755.40355	4792.76972																			4546.31000	4561.29538	4558.31290	0
1778021102	XAUUSD	M15	4573.43	4518.59282	4596.05595	4755.40355	4792.76972																				4567.30384	4562.80837	0
1778022002	XAUUSD	M15	4588.62	4518.59282	4596.05595	4755.40355	4792.76972																				4573.95251	4568.38044	0
1778022902	XAUUSD	M15	4582.10	4518.59282	4596.05595	4755.40355	4792.76972																				4580.54684	4574.46364	0
